time,joint1,joint2
0.000000,0.000000000,0.000000000
0.010000,0.000004265,0.000002133
0.020000,0.000033610,0.000016805
0.030000,0.000111716,0.000055858
0.040000,0.000260767,0.000130383
0.050000,0.000501483,0.000250742
0.060000,0.000853150,0.000426575
0.070000,0.001333651,0.000666826
0.080000,0.001959496,0.000979748
0.090000,0.002745856,0.001372928
0.100000,0.003706590,0.001853295
0.110000,0.004854283,0.002427141
0.120000,0.006200268,0.003100134
0.130000,0.007754666,0.003877333
0.140000,0.009526411,0.004763206
0.150000,0.011523285,0.005761643
0.160000,0.013751947,0.006875973
0.170000,0.016217963,0.008108982
0.180000,0.018925843,0.009462921
0.190000,0.021879064,0.010939532
0.200000,0.025080107,0.012540054
0.210000,0.028530489,0.014265244
0.220000,0.032230787,0.016115393
0.230000,0.036180677,0.018090339
0.240000,0.040378962,0.020189481
0.250000,0.044823601,0.022411801
0.260000,0.049511746,0.024755873
0.270000,0.054439765,0.027219883
0.280000,0.059603283,0.029801641
0.290000,0.064997202,0.032498601
0.300000,0.070615744,0.035307872
0.310000,0.076452473,0.038226236
0.320000,0.082500329,0.041250164
0.330000,0.088751661,0.044375830
0.340000,0.095198257,0.047599128
0.350000,0.101831374,0.050915687
0.360000,0.108641771,0.054320885
0.370000,0.115619739,0.057809869
0.380000,0.122755132,0.061377566
0.390000,0.130037399,0.065018700
0.400000,0.137455616,0.068727808
0.410000,0.144998515,0.072499258
0.420000,0.152654516,0.076327258
0.430000,0.160411759,0.080205879
0.440000,0.168258134,0.084129067
0.450000,0.176181313,0.088090657
0.460000,0.184168782,0.092084391
0.470000,0.192207870,0.096103935
0.480000,0.200285780,0.100142890
0.490000,0.208389625,0.104194812
0.500000,0.216506452,0.108253226
0.510000,0.224623279,0.112311640
0.520000,0.232727124,0.116363562
0.530000,0.240805034,0.120402517
0.540000,0.248844122,0.124422061
0.550000,0.256831590,0.128415795
0.560000,0.264754770,0.132377385
0.570000,0.272601145,0.136300572
0.580000,0.280358388,0.140179194
0.590000,0.288014389,0.144007194
0.600000,0.295557288,0.147778644
0.610000,0.302975505,0.151487752
0.620000,0.310257772,0.155128886
0.630000,0.317393165,0.158696583
0.640000,0.324371133,0.162185566
0.650000,0.331181530,0.165590765
0.660000,0.337814647,0.168907323
0.670000,0.344261243,0.172130621
0.680000,0.350512575,0.175256288
0.690000,0.356560431,0.178280216
0.700000,0.362397159,0.181198580
0.710000,0.368015701,0.184007851
0.720000,0.373409621,0.186704811
0.730000,0.378573138,0.189286569
0.740000,0.383501158,0.191750579
0.750000,0.388189302,0.194094651
0.760000,0.392633942,0.196316971
0.770000,0.396832227,0.198416113
0.780000,0.400782117,0.200391058
0.790000,0.404482415,0.202241208
0.800000,0.407932796,0.203966398
0.810000,0.411133840,0.205566920
0.820000,0.414087061,0.207043531
0.830000,0.416794941,0.208397470
0.840000,0.419260957,0.209630479
0.850000,0.421489619,0.210744809
0.860000,0.423486492,0.211743246
0.870000,0.425258238,0.212629119
0.880000,0.426812636,0.213406318
0.890000,0.428158621,0.214079311
0.900000,0.429306313,0.214653157
0.910000,0.430267048,0.215133524
0.920000,0.431053407,0.215526704
0.930000,0.431679253,0.215839626
0.940000,0.432159753,0.216079877
0.950000,0.432511421,0.216255710
0.960000,0.432752137,0.216376069
0.970000,0.432901188,0.216450594
0.980000,0.432979294,0.216489647
0.990000,0.433008638,0.216504319
1.000000,0.433012904,0.216506452
