time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
0.000000,0.000000000,-0.785000000,0.000000000,-2.356000000,0.000000000,1.571000000,0.785000000
0.009845,0.000000000,-0.785000000,0.000000000,-2.356000000,0.000000000,1.571000000,0.785000000
0.020012,0.000071463,-0.785038396,-0.000082288,-2.355886085,-0.000067626,1.570852670,0.784711554
0.030622,0.000271147,-0.785145683,-0.000312218,-2.355567785,-0.000256586,1.570441000,0.783905577
0.041399,0.000603254,-0.785324119,-0.000694630,-2.355038398,-0.000570858,1.569756323,0.782565101
0.050045,0.000964003,-0.785517944,-0.001110023,-2.354463353,-0.000912235,1.569012596,0.781109016
0.059983,0.001483293,-0.785796950,-0.001707970,-2.353635591,-0.001403638,1.567942021,0.779013019
0.070013,0.002122424,-0.786140345,-0.002443911,-2.352616800,-0.002008446,1.566624381,0.776433312
0.080069,0.002880990,-0.786547911,-0.003317379,-2.351407624,-0.002726277,1.565060508,0.773371526
0.092815,0.004014044,-0.787156683,-0.004622058,-2.349601507,-0.003798484,1.562724588,0.768798208
0.099995,0.004737224,-0.787545236,-0.005454779,-2.348448739,-0.004482828,1.561233670,0.765879254
0.110007,0.005847315,-0.788141670,-0.006733018,-2.346679223,-0.005533306,1.558945089,0.761398619
0.119811,0.007048006,-0.788786782,-0.008115579,-2.344765291,-0.006669518,1.556469728,0.756552301
0.130035,0.008419594,-0.789523715,-0.009694923,-2.342578944,-0.007967449,1.553642043,0.751016193
0.140248,0.009911235,-0.790325150,-0.011412507,-2.340201227,-0.009378988,1.550566852,0.744995515
0.150015,0.011451449,-0.791152683,-0.013186019,-2.337746086,-0.010836489,1.547391526,0.738778788
0.159875,0.013119237,-0.792048759,-0.015106429,-2.335087587,-0.012414715,1.543953190,0.732047134
0.170024,0.014954172,-0.793034641,-0.017219306,-2.332162651,-0.014151111,1.540170260,0.724640828
0.179979,0.016870658,-0.794064339,-0.019426085,-2.329107721,-0.015964679,1.536219204,0.716905361
0.192215,0.019384719,-0.795415104,-0.022320954,-2.325100242,-0.018343731,1.531036181,0.706757918
0.199186,0.020894811,-0.796226452,-0.024059783,-2.322693114,-0.019772730,1.527922952,0.700662767
0.209981,0.023345391,-0.797543110,-0.026881557,-2.318786825,-0.022091710,1.522870800,0.690771548
0.222178,0.026277696,-0.799118592,-0.030258023,-2.314112652,-0.024866546,1.516825517,0.678935955
0.229918,0.028228232,-0.800166584,-0.032504010,-2.311003445,-0.026712335,1.512804263,0.671063051
0.240008,0.030876122,-0.801589254,-0.035552980,-2.306782638,-0.029218030,1.507345334,0.660375435
0.250009,0.033617531,-0.803062169,-0.038709635,-2.302412760,-0.031812221,1.501693606,0.649310352
0.259523,0.036333791,-0.804521573,-0.041837331,-2.298082970,-0.034382613,1.496093726,0.638346778
0.270004,0.039448137,-0.806194862,-0.045423412,-2.293118618,-0.037329715,1.489673143,0.625776414
0.279988,0.042534092,-0.807852897,-0.048976802,-2.288199524,-0.040249950,1.483311094,0.613320648
0.290182,0.045804881,-0.809610240,-0.052743023,-2.282985799,-0.043345093,1.476567986,0.600118837
0.300606,0.049274435,-0.811474377,-0.056738116,-2.277455238,-0.046628326,1.469415104,0.586114760
0.309887,0.052470534,-0.813191591,-0.060418334,-2.272360570,-0.049652791,1.462825979,0.573214419
0.319970,0.056055847,-0.815117922,-0.064546719,-2.266645487,-0.053045566,1.455434446,0.558743108
0.330043,0.059755572,-0.817105727,-0.068806849,-2.260748025,-0.056546612,1.447807038,0.543809992
0.340481,0.063712736,-0.819231848,-0.073363411,-2.254440201,-0.060291270,1.439648891,0.527837786
0.350043,0.067448467,-0.821238997,-0.077664999,-2.248485347,-0.063826386,1.431947254,0.512759344
0.360248,0.071552904,-0.823444247,-0.082391142,-2.241942765,-0.067710409,1.423485487,0.496192702
0.371989,0.076426868,-0.826062951,-0.088003373,-2.234173537,-0.072322634,1.413437251,0.476520037
0.380005,0.079848302,-0.827901233,-0.091943057,-2.228719680,-0.075560332,1.406383573,0.462710183
0.391196,0.084752245,-0.830536045,-0.097589809,-2.220902663,-0.080200927,1.396273532,0.442916512
0.401705,0.089492727,-0.833083031,-0.103048341,-2.213346208,-0.084686838,1.386500484,0.423782614
