time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
0.000000,0.000000000,-0.785000000,0.000000000,-2.356000000,0.000000000,1.571000000,0.785000000
0.100000,0.005772409,-0.788256610,-0.006735481,-2.346738141,-0.005560842,1.559139007,0.761475000
0.200000,0.023089638,-0.798026440,-0.026941924,-2.318952565,-0.022243368,1.523556029,0.690900000
0.300000,0.051951661,-0.814309476,-0.060619300,-2.272643311,-0.050047556,1.464251115,0.573275098
0.400000,0.092358452,-0.837105703,-0.107767578,-2.207810421,-0.088973378,1.381224320,0.408600405
0.500000,0.135612682,-0.861508364,-0.158238363,-2.138408802,-0.130642276,1.292346684,0.232321200
0.600000,0.167523369,-0.879511360,-0.195473045,-2.087207951,-0.161383390,1.226777456,0.102271706
0.700000,0.187889238,-0.891001136,-0.219236764,-2.054530816,-0.181002820,1.184930213,0.019272212
0.800000,0.196710288,-0.895977692,-0.229529522,-2.040377400,-0.189500565,1.166804955,-0.016677281
0.826407,0.197112815,-0.896204785,-0.229999207,-2.039731543,-0.189888339,1.165977853,-0.018317749
