time,joint1
0.000000,0.000000000
0.010000,0.000001861
0.020000,0.000014776
0.030000,0.000049493
0.040000,0.000116429
0.050000,0.000225674
0.060000,0.000386994
0.070000,0.000609834
0.080000,0.000903322
0.090000,0.001276272
0.100000,0.001737188
0.110000,0.002294265
0.120000,0.002955398
0.130000,0.003728179
0.140000,0.004619901
0.150000,0.005637568
0.160000,0.006787891
0.170000,0.008077294
0.180000,0.009511919
0.190000,0.011097626
0.200000,0.012840000
0.210000,0.014744351
0.220000,0.016815721
0.230000,0.019058883
0.240000,0.021478349
0.250000,0.024078369
0.260000,0.026862939
0.270000,0.029835799
0.280000,0.033000442
0.290000,0.036360112
0.300000,0.039917812
0.310000,0.043676306
0.320000,0.047638118
0.330000,0.051805544
0.340000,0.056180646
0.350000,0.060765264
0.360000,0.065561011
0.370000,0.070569285
0.380000,0.075791264
0.390000,0.081227917
0.400000,0.086880000
0.410000,0.092748067
0.420000,0.098832466
0.430000,0.105133348
0.440000,0.111650669
0.450000,0.118384189
0.460000,0.125333484
0.470000,0.132497939
0.480000,0.139876762
0.490000,0.147468977
0.500000,0.155273438
0.510000,0.163288821
0.520000,0.171513638
0.530000,0.179946234
0.540000,0.188584791
0.550000,0.197427334
0.560000,0.206471731
0.570000,0.215715700
0.580000,0.225156809
0.590000,0.234792482
0.600000,0.244620000
0.610000,0.254636507
0.620000,0.264839011
0.630000,0.275224389
0.640000,0.285789389
0.650000,0.296530635
0.660000,0.307444629
0.670000,0.318527755
0.680000,0.329776282
0.690000,0.341186368
0.700000,0.352754063
0.710000,0.364475311
0.720000,0.376345958
0.730000,0.388361749
0.740000,0.400518336
0.750000,0.412811279
0.760000,0.425236051
0.770000,0.437788040
0.780000,0.450462554
0.790000,0.463254822
0.800000,0.476160000
0.810000,0.489173172
0.820000,0.502289356
0.830000,0.515503504
0.840000,0.528810509
0.850000,0.542205205
0.860000,0.555682374
0.870000,0.569236745
0.880000,0.582863002
0.890000,0.596555783
0.900000,0.610309688
0.910000,0.624119277
0.920000,0.637979078
0.930000,0.651883590
0.940000,0.665827281
0.950000,0.679804600
0.960000,0.693809971
0.970000,0.707837806
0.980000,0.721882499
0.990000,0.735938437
1.000000,0.750000000
1.010000,0.764061563
1.020000,0.778117501
1.030000,0.792162194
1.040000,0.806190029
1.050000,0.820195400
1.060000,0.834172719
1.070000,0.848116410
1.080000,0.862020922
1.090000,0.875880723
1.100000,0.889690313
1.110000,0.903444217
1.120000,0.917136998
1.130000,0.930763255
1.140000,0.944317626
1.150000,0.957794795
1.160000,0.971189491
1.170000,0.984496496
1.180000,0.997710644
1.190000,1.010826828
1.200000,1.023840000
1.210000,1.036745178
1.220000,1.049537446
1.230000,1.062211960
1.240000,1.074763949
1.250000,1.087188721
1.260000,1.099481664
1.270000,1.111638251
1.280000,1.123654042
1.290000,1.135524689
1.300000,1.147245937
1.310000,1.158813632
1.320000,1.170223718
1.330000,1.181472245
1.340000,1.192555371
1.350000,1.203469365
1.360000,1.214210611
1.370000,1.224775611
1.380000,1.235160989
1.390000,1.245363493
1.400000,1.255380000
1.410000,1.265207518
1.420000,1.274843191
1.430000,1.284284300
1.440000,1.293528269
1.450000,1.302572666
1.460000,1.311415209
1.470000,1.320053766
1.480000,1.328486362
1.490000,1.336711179
1.500000,1.344726562
1.510000,1.352531023
1.520000,1.360123238
1.530000,1.367502061
1.540000,1.374666516
1.550000,1.381615811
1.560000,1.388349331
1.570000,1.394866652
1.580000,1.401167534
1.590000,1.407251933
1.600000,1.413120000
1.610000,1.418772083
1.620000,1.424208736
1.630000,1.429430715
1.640000,1.434438989
1.650000,1.439234736
1.660000,1.443819354
1.670000,1.448194456
1.680000,1.452361882
1.690000,1.456323694
1.700000,1.460082188
1.710000,1.463639888
1.720000,1.466999558
1.730000,1.470164201
1.740000,1.473137061
1.750000,1.475921631
1.760000,1.478521651
1.770000,1.480941117
1.780000,1.483184279
1.790000,1.485255649
1.800000,1.487160000
1.810000,1.488902374
1.820000,1.490488081
1.830000,1.491922706
1.840000,1.493212109
1.850000,1.494362432
1.860000,1.495380099
1.870000,1.496271821
1.880000,1.497044602
1.890000,1.497705735
1.900000,1.498262813
1.910000,1.498723728
1.920000,1.499096678
1.930000,1.499390166
1.940000,1.499613006
1.950000,1.499774326
1.960000,1.499883571
1.970000,1.499950507
1.980000,1.499985224
1.990000,1.499998139
2.000000,1.500000000
